1,Golden State CrossFit,http://goldenstatecrossfit.com/,11174 La Grange Ave,"Los Angeles, CA, 90025",(818) 665-6512,34.0423563,-118.4413598
3,CrossFit Persist,http://www.crossfitpersist.com/,"165 Amboy Ave, #705","Morganville, NJ, 07751",(732) 687-1050,40.360365,-74.289418
4,Far North CrossFit,http://www.farnorthcrossfit.com,17 Finlayson Street,"Whangarei, Northland, 0110",021 022 09234,-35.7270373,174.3274186
5,CrossFit Dubuque,http://crossfitdubuque.com/,3080 Cedar Crest Ct.,"Dubuque, IA, 52003",(563) 552-8423,42.4787204,-90.7067915
6,Ballston CrossFit,http://www.ballstoncrossfit.com/,1110 North Glebe Rd,"Arlington, VA, 22201",(703) 688-2238,38.8837502,-77.1172427
8,CrossFit Moorabbin,http://www.crossfitmoorabbin.com,16 Coachranes Road,"Moorabbin, Victoria, 3189",+61 (0)418 565 065,-37.9422822,145.0619681
9,CrossFit Bartlesville,http://www.crossfitbartlesville.com,3822 SE Kentucky Suite 13-14,"Bartlesville, OK, 74006",(918) 350-0120,36.7552459,-95.9354815
10,Armor CrossFit,http://www.armorcrossfit.com/,"880 Macguire Road, Unit B","Ocoee, FL, 34761",(407) 614-8997,28.556221,-81.543222
11,CrossFit 5150,http://www.crossfit5150.com,1480 E 28th St,"Signal Hill, CA, 90755",(714) 883-2182,33.8080324,-118.1733102
12,CrossFit Karlstad,http://www.crossfitkarlstad.se/,Kolvgatan 1A,"Karlstad, VÃ¤rmlands LÃ¤n, 653 41",46708282471,59.3896205,13.4792898
13,CrossFit Soul Ruckus,http://soulruckus.com/,3750 S Mason Road,"Katy, TX, 77494",(281) 761-7877,29.732115,-95.756903
14,CrossFit Reebok Stolitsa,http://reebokcrossfitstolitsa.ru/,4/1 Proektiruemy proezd 5231,"Moscow, Moscow, 119361",79153737403,55.6711538472,37.4386504933
16,CrossFit Bel Air,http://www.crossfitbelair.com/,350 Granary Road,"Forest Hill, MD, 21050",(443) 271-1675,39.568371,-76.360305
